Plot,Exploratory,LU,Core_depth,pH,elevation,Cstock0.10,TWI,prop_clay,Mean_Temp,Mean_precip
AEW05,A,W,40,3.73,788.19,3.567616102,8.41945,0.403596403596404,7.146965,1002.5750425
AEW06,A,W,38,4.81,740.2,3.95657809999999,7.4757,0.415,7.370755,940.078715
AEW07,A,W,17,3.79,771.94,3.04506403599998,6.20541,0.548,6.85391,954.6699925
AEW08,A,W,40,4.48,766.02,2.958514565,5.62995,0.492,7.432908,950.46501625
AEW09,A,W,21,7.38,742.1,4.85281421599999,6.98346,0.693,7.679455,933.8949975
AEW10,A,W,50,3.99,702.46,4.65436070899999,5.80592,0.526946107784431,6.68230333333333,926.6162475
AEW11,A,W,78,3.25,756.22,4.90958638599999,6.58427,0.26,7.270702,1007.45378
AEW12,A,W,84,3.79,729.69,3.75768841799999,6.82507,0.57,7.239385,948.84498625
AEW13,A,W,51,4.95,714.72,3.502248762,7.17812,0.666,6.82970666666667,949.97624125
AEW14,A,W,36,5.78,738.49,4.58388391499999,6.32537,0.449,6.17716,927.06876125
AEW15,A,W,27,4.45,694.15,4.818712973,6.49791,0.653,7.98699,965.93250375
AEW16,A,W,54,4.92,783.64,3.66598646899999,5.39303,0.521,7.77584333333333,934.70999125
AEW17,A,W,41,5.89,817.31,4.20731530399999,8.54025,0.428,7.06616,937.0125275
AEW18,A,W,60,4.26,758.84,2.367914824,7.91684,0.312375249500998,7.21326666666667,939.2324825
AEW19,A,W,49,6.84,755.44,4.57945222999999,5.34152,0.470059880239521,9.029405,1006.17753625
AEW20,A,W,89,5.51,765.78,2.87149274099999,7.53199,0.437,6.96843666666667,916.884955
AEW21,A,W,59,5.68,757.5,4.247201109,6.48637,0.517964071856287,7.65362333333333,989.68623375
AEW22,A,W,38,6.67,813,5.34854571516665,9.06748,0.542,7.306752,941.3387675
AEW23,A,W,23,5.98,777.64,3.1161323275,6.31023,0.4995004995005,7.56242,929.64122875
AEW24,A,W,56,4.96,759.83,4.138299758,5.05152,0.51,7.21977333333333,996.52251375
AEW25,A,W,42,4.81,712.64,3.4081540235,8.77138,0.383,8.224662,1010.90624125
AEW26,A,W,53,5.19,751.12,3.26829618399999,6.86974,0.484848484848485,7.21977333333333,991.07624875
AEW27,A,W,23,4.61,783.41,3.97375895099999,6.78143,0.518,6.721395,959.79747875
AEW28,A,W,34,4.78,754.87,3.50047881749999,6.26622,0.474,8.0406,979.5524825
AEW29,A,W,18,4.75,760.05,2.9094118615,8.45588,0.413,7.577576,912.42124375
AEW30,A,W,28,5.39,735.22,4.35757547699999,5.93224,0.7,6.50471,893.1699675
AEW31,A,W,20,4.34,738.35,3.796736202,6.84057,0.548,7.2310475,950.14499625
AEW32,A,W,21,5.08,708.15,4.159865964,5.85364,0.395,7.143104,946.00251
AEW33,A,W,27,5.23,771.68,3.835940531,6.55966,0.681,5.25089666666667,962.36123
AEW34,A,W,14,4.97,773.19,4.26299877,5.91342,0.624750499001996,6.78642,962.36123
AEW35,A,W,17,4.47,764.47,5.323863976,5.20054,0.587,7.91832833333333,989.57377625
AEW36,A,W,10,5.22,780.28,4.54204442399999,7.6201,0.407,6.763622,971.32498875
AEW37,A,W,17,5.14,733.47,3.49178922799999,6.55728,0.553,8.26364,940.078715
AEW38,A,W,17,4.96,765.87,3.63446069399999,5.87868,0.502,7.57951,934.70999125
AEW39,A,W,10,5.54,791.39,4.41902118799999,6.62752,0.432,7.43322,980.7425075
AEW40,A,W,26,5.23,779.15,4.85281421599999,6.38664,0.609390609390609,7.942836,1036.71126625
AEW41,A,W,76,6.06,737.17,2.958514565,6.0823,0.475,6.7865925,916.56126625
AEW42,A,W,74,5.78,776.25,4.818712973,6.02524,0.504,7.33396666666667,931.37625125
AEW43,A,W,19,5.38,738.48,4.279324754,5.57902,0.385229540918164,7.0304,950.46501625
AEW44,A,W,10,6.16,799.51,4.895592395,6.59916,0.429,7.40359833333333,939.9525075
AEW45,A,W,62,5.51,787.09,3.927054739,6.10245,0.22,7.5416,934.4187775
AEW46,A,W,36,6.35,757,4.05383282999999,5.71021,0.547094188376754,7.31406,912.42124375
AEW47,A,W,29,4.81,765.98,4.305507406,7.13547,0.531,8.26364,972.09375875
AEW48,A,W,17,5.92,792.11,3.51637148649999,5.63072,0.464,7.58941,941.919975
AEW49,A,W,13,6.57,763.56,5.73309000999999,5.15852,0.645,7.9731575,1024.57127375
AEW50,A,W,11,4.53,782.57,4.362146204,5.34726,0.543,7.958876,950.42750625
HEG01,H,G,46,5.91,291.52,4.427510024,8.30418,0.502502502502503,8.89844428571429,603.7300275
HEG02,H,G,50,6.44,287.58,2.98421749199999,7.1777,0.552,8.823835,618.9437525
HEG03,H,G,31,6.58,286.35,2.789554478,7.488,0.544,9.08132333333333,618.9437525
HEG04,H,G,44,6.97,284.78,3.781539106,9.25235,0.511,8.63272,620.28125375
HEG05,H,G,50,6.41,449.98,4.414463235,7.36961,0.454,7.83928166666667,639.45375375
HEG06,H,G,57,5.3,299.14,1.982748107,6.78636,0.257,8.391244,552.9875125
HEG07,H,G,38,6.52,290.35,4.019944693,6.90649,0.536,8.189415,601.18377625
HEG08,H,G,63,6.27,295.72,4.65110841249999,10.1624,0.493013972055888,8.32534428571429,601.18377625
HEG09,H,G,71,7.1,325.16,3.1613459395,6.39733,0.387,8.32040833333333,583.01874875
HEG10,H,G,45,5.83,323.28,3.95913696599999,8.10347,0.43687374749499,8.70135714285714,583.15501125
HEG11,H,G,53,6.35,356.86,4.61550598699999,7.34801,0.552,8.7539625,578.72623375
HEG12,H,G,52,6.81,285.02,5.73280130799999,7.62062,0.497,8.99823166666667,590.227505
HEG13,H,G,46,6.61,290.48,3.59186576499999,8.0977,0.394,8.70607571428571,601.18124375
HEG14,H,G,44,6.31,372.14,3.337977788,7.4264,0.44955044955045,8.35209285714286,598.9437225
HEG15,H,G,24,6.93,433.17,3.934703995,7.18988,0.527472527472528,8.161655,614.83874875
HEG16,H,G,49,6.51,372.96,4.35337599949999,6.92273,0.555555555555556,8.66205,637.1050025
HEG17,H,G,43,6.44,454.77,3.85020268099999,6.75279,0.547642928786359,7.957456,640.2037375
HEG18,H,G,17,6.57,311.86,3.81269509999998,9.71643,0.457,8.458455,608.01374375
HEG19,H,G,33,6.35,438.44,4.9531564395,6.37419,0.485485485485486,7.150025,628.15875875
HEG20,H,G,88,4.42,344.55,3.010527657,8.97209,0.238522954091816,9.07118333333333,588.49251375
HEG21,H,G,30,6.9,300.64,3.459322328,7.86784,0.311,8.96029285714286,568.64001875
HEG22,H,G,79,6.33,329.13,4.635281976,7.43632,0.446,8.59141,610.942505
HEG23,H,G,48,6.78,332.56,3.5192027915,6.15884,0.588,8.797778,638.7600125
HEG24,H,G,78,5.64,339.31,4.84715039049998,7.27141,0.544455544455544,8.77103,658.34502375
