Plot,Region,LU,Core_depth,pH,elevation,TWI,prop_clay,Mean_Temp,Mean_precip,LUI_2007to12
C203,H,Crop,54.8319377140632,5.52222476457621,381.450900074555,7.55800717279043,0.301833067741028,7.67852968179781,624.609944430584,0
C204,H,Crop,44.5132373848978,5.80070630435304,336.814298230181,7.00958151743212,0.345782845473345,7.71895245904991,621.950506590607,0
C205,H,Crop,52.970248233506,6.19246118226707,377.837507216205,7.83906419830622,0.381263120814852,7.87569155437336,614.799179481573,0
C206,H,Crop,45.9148778738951,5.8722773148948,355.852547414575,7.75339821251964,0.375912611556777,7.79206719555236,626.188916423162,0
C207,H,Crop,49.6974499304633,5.62718491811031,384.816280295552,7.25513241567546,0.378375802344699,7.7148905824906,621.409342360013,0
C208,H,Crop,53.3662804620301,5.80519112667651,367.333367951563,7.57098416151949,0.383851479591428,7.74290238255393,622.162903238597,0
C209,H,Crop,50.5550378118746,5.89924636738001,371.660879715701,7.27780648812408,0.399751050636554,7.92339717220945,617.163247317221,0
C21,A,Crop,35.2850656603343,6.03644305221999,748.375517898989,6.5771739629049,0.533043366664045,7.17850151809695,940.597423355969,0
C210,H,Crop,51.4861639524549,5.65084690067957,390.151033476424,7.78615279727536,0.373745687567603,7.96910357746575,619.77754636379,0
C211,H,Crop,56.2179257605447,5.99754066976656,388.248225963525,7.49986733107386,0.379270485731511,7.64878418322246,633.357268201925,0
C212,H,Crop,55.2627684052053,5.99994343251177,358.133525408332,7.4645062163388,0.366393612640101,7.64936122489864,623.363339742669,0
C213,H,Crop,49.3979719331361,6.12678602648022,384.597897973647,7.37571369799997,0.390589298753165,7.57998450850273,623.053740993307,0
C214,H,Crop,51.9203987477726,5.61505143931337,384.562096062537,7.94416344811404,0.409447709384156,7.67886032275019,627.459672408667,0
C215,H,Crop,53.8875007174377,5.84639034071944,378.536246104903,7.09500679521718,0.349082977107987,7.75693045025843,624.631300634221,0
C216,H,Crop,48.069034337768,5.41241939851465,389.431827635275,8.30315122030721,0.338260234498039,7.85816488178154,624.868278906475,0
C217,H,Crop,48.51363591854,6.44461350492548,354.505607400289,7.56574980966936,0.355150947799387,7.7492807148655,626.813035282275,0
C218,H,Crop,46.2002764157346,5.51262694893798,405.315192495434,7.59962952358867,0.358563664216669,7.69540746979424,629.590999802265,0
C219,H,Crop,54.4022064942509,6.00679984936749,378.217990934348,7.76618738729652,0.382420727085771,7.7427671017471,631.102660982203,0
C22,A,Crop,29.6640751115305,5.37759506454283,753.077085882696,6.84476942286535,0.504697236680494,7.1981025016915,934.528008686497,0
C220,H,Crop,53.002574142695,5.7062742941063,408.849806005856,7.48433786921995,0.331791641368985,7.60404666987888,627.452777683536,0
