scenario,region,mean_MF,mean_MF_diff,sd_MF,mean_harmony,sd_harmony,harmony_baseline,mean_harmony_diff
4760,H,0.483752187802725,0.288799438490794,0.040651746557228,23.1427579135466,3.01572313314328,34.3893945296579,-11.2466366161113
4760,S,0.569764382086306,0.27911478646725,0.0286509762751319,29.9653686420465,4.60227799198453,28.1519439535314,1.81342468851509
4761,A,0.51245485743228,0.324640702437482,0.0323589627183158,69.3230016177103,19.7156782740076,36.0516932746061,33.2713083431042
4761,H,0.459037054997512,0.26408430568558,0.0379002149049829,36.7679867483894,8.2591687332083,34.3893945296579,2.37859221873151
4761,S,0.516884951929773,0.226235356310719,0.0303743229321412,55.6445548677538,14.7323961071797,28.1519439535314,27.4926109142224
4762,A,0.492182231882658,0.304368076887861,0.0184384952581077,84.3722939154542,14.4479134971663,36.0516932746061,48.3206006408481
4762,H,0.447370472071389,0.252417722759458,0.0447551156630069,33.4730061311982,6.83168613858354,34.3893945296579,-0.916388398459738
4762,S,0.521171254578562,0.230521658959507,0.038696244638071,55.0542592709411,15.3404823362489,28.1519439535314,26.9023153174097
4763,A,0.528449376605634,0.340635221610836,0.0268216422972234,64.0289956084718,20.8972349755308,36.0516932746061,27.9773023338657
4763,H,0.469574431820824,0.274621682508892,0.0445111467370447,33.5663840513942,7.38700558554735,34.3893945296579,-0.823010478263683
4763,S,0.528414844430111,0.237765248811056,0.0339065543406942,53.7750888890353,15.8509572574108,28.1519439535314,25.6231449355039
4764,A,0.523736414094388,0.335922259099589,0.0253930326860799,70.6161107284956,21.1765507204181,36.0516932746061,34.5644174538895
4764,H,0.465397164411389,0.270444415099458,0.0465666259100026,32.5281432951628,7.07992987241543,34.3893945296579,-1.86125123449511
4764,S,0.529137241531832,0.238487645912778,0.0369691220726884,54.3156266918701,17.2838863300136,28.1519439535314,26.1636827383387
4765,A,0.540778100379543,0.352963945384747,0.0244172499485652,51.1398856021872,12.7113968104622,36.0516932746061,15.0881923275811
4765,H,0.47738121473119,0.282428465419259,0.0429954327784843,29.2675792048658,5.30243932645193,34.3893945296579,-5.12181532479213
4765,S,0.536687705236869,0.246038109617815,0.0350884284057346,48.0075847292879,13.5706674895373,28.1519439535314,19.8556407757565
4766,A,0.541406001981817,0.353591846987019,0.0222960950083577,40.3397649823289,6.77003881275228,36.0516932746061,4.28807170772281
4766,H,0.478946659378444,0.283993910066513,0.0401802974390292,26.2672048867144,4.46193499041587,34.3893945296579,-8.12218964294347
4766,S,0.533803126179316,0.24315353056026,0.0286660951744609,42.3603311046657,8.83633932032839,28.1519439535314,14.2083871511343
4767,A,0.481113953020959,0.29329979802616,0.0314776538275665,74.1228226386413,21.0252212829609,36.0516932746061,38.0711293640352
4767,H,0.435777724365856,0.240824975053924,0.0375445624668356,36.1123285942287,8.90815881760012,34.3893945296579,1.72293406457081
4767,S,0.480641786379026,0.18999219075997,0.0281269700037463,72.4674430555193,19.554293185437,28.1519439535314,44.3154991019879
4768,A,0.467688652846026,0.279874497851228,0.0175690771937229,77.758895514765,19.762288047113,36.0516932746061,41.7072022401588
4768,H,0.431090969795479,0.236138220483547,0.0397219717476146,32.4100822641411,7.25532011755211,34.3893945296579,-1.97931226551678
4768,S,0.480653028323799,0.190003432704745,0.0353131666911922,71.2616326664484,20.185161773249,28.1519439535314,43.109688712917
4769,A,0.500150187037117,0.312336032042319,0.0232492733591209,74.2633031155845,24.4746808476583,36.0516932746061,38.2116098409784
4769,H,0.44858498541955,0.253632236107618,0.0428489445901191,32.5456516360738,7.13268812918835,34.3893945296579,-1.84374289358407
4769,S,0.488909644448379,0.198260048829323,0.031810822472941,68.8538583418729,20.6358357424134,28.1519439535314,40.7019143883415
4770,A,0.514046415879952,0.326232260885154,0.0199812726465681,54.9997963516706,13.0109978544342,36.0516932746061,18.9481030770645
4770,H,0.461584097167541,0.266631347855611,0.0399712525027532,29.3329064909287,5.79666240442312,34.3893945296579,-5.05648803872918
4770,S,0.486954192492373,0.196304596873317,0.0275182367979962,59.3838499556709,14.8679545995893,28.1519439535314,31.2319060021395
4771,A,0.428554928964311,0.240740773969513,0.0230698021838583,49.5995307689842,12.6198748914399,36.0516932746061,13.5478374943781
4771,H,0.391772578666118,0.196819829354187,0.0351430469158345,31.6392067223889,7.21536233303602,34.3893945296579,-2.75018780726903
4771,S,0.412709340733953,0.122059745114897,0.0238341194691966,60.4547747245946,16.627278568713,28.1519439535314,32.3028307710632
4772,A,0.425703513844189,0.237889358849391,0.0138324054618568,49.4502307490474,11.6045027507812,36.0516932746061,13.3985374744413
4772,H,0.388724663324847,0.193771914012915,0.0338587079339665,29.9891387566482,6.4738407583872,34.3893945296579,-4.40025577300966
4772,S,0.410969298576497,0.120319702957442,0.0271586436772311,58.1206721797817,16.5944350785654,28.1519439535314,29.9687282262503
4773,A,0.454525741603953,0.266711586609155,0.0175684461890151,51.7322508798366,14.490932732322,36.0516932746061,15.6805576052305
4773,H,0.405506893371271,0.210554144059339,0.0408809527938755,30.7762738838724,6.37914466092794,34.3893945296579,-3.61312064578545
4773,S,0.415699561765818,0.125049966146763,0.0225617719779386,56.2815427332086,14.0607161036165,28.1519439535314,28.1295987796772
4774,A,0.57477893699642,0.386964782001622,0.0343642399011801,26.8272237217303,3.03420232121984,36.0516932746061,-9.22446955287584
4774,H,0.519087446052345,0.324134696740414,0.0362840015440576,24.3633758441923,2.79143075875748,34.3893945296579,-10.0260186854656
4774,S,0.601537717367867,0.310888121748812,0.0312972230353831,25.4000616053763,2.86973345751015,28.1519439535314,-2.75188234815511
4775,A,0.558665014792147,0.37085085979735,0.0248309393102008,31.2563246445072,3.03605366459674,36.0516932746061,-4.79536863009891
4775,H,0.508062201067733,0.313109451755802,0.0445983046879821,28.9296299736931,4.65136099571451,34.3893945296579,-5.45976455596475
4775,S,0.609073890347066,0.318424294728011,0.0383844456602096,24.8675624530759,2.63971966664093,28.1519439535314,-3.28438150045545
4776,A,0.592927971109053,0.405113816114255,0.0325770878058132,26.0314914670989,2.91699195975594,36.0516932746061,-10.0202018075072
4776,H,0.527501332076901,0.332548582764969,0.0445541632794611,24.1826578407464,3.48812607583555,34.3893945296579,-10.2067366889115
4776,S,0.610249120655155,0.3195995250361,0.0357937928693233,25.093633379107,3.16026226278828,28.1519439535314,-3.05831057442441
4777,A,0.595183448437129,0.407369293442332,0.0333917834924953,26.7430296185514,3.07098901075729,36.0516932746061,-9.30866365605475
4777,H,0.52179782319376,0.32684507388183,0.0500575106651697,25.5772051949946,4.16796135888915,34.3893945296579,-8.81218933466326
4777,S,0.613056870176042,0.322407274556986,0.0419835071456501,24.979814323275,3.39143678733673,28.1519439535314,-3.17212963025635
4778,A,0.59041092929874,0.402596774303942,0.0340588499578786,27.7816954393717,3.26616966514323,36.0516932746061,-8.26999783523437
4778,H,0.52432488694746,0.329372137635529,0.052436470172288,26.1244372320593,4.44124927827163,34.3893945296579,-8.26495729759864
4778,S,0.615076304936036,0.32442670931698,0.0420420718854308,24.7548850862019,3.22637040807443,28.1519439535314,-3.39705886732945
4779,A,0.584142364585622,0.396328209590824,0.0302118059128185,29.046236777824,3.14442932284199,36.0516932746061,-7.00545649678215
4779,H,0.522286879268836,0.327334129956905,0.0500743967609016,26.7537651700967,4.37669357922657,34.3893945296579,-7.63562935956122
4779,S,0.618529328065988,0.327879732446934,0.0427471499768066,24.486843253872,3.0823424098167,28.1519439535314,-3.66510069965939
4780,A,0.606528647875532,0.418714492880734,0.030789312435676,24.57558581336,2.6537064583915,36.0516932746061,-11.4761074612461
4780,H,0.531130646989221,0.336177897677289,0.0468684955242798,22.8152780001211,3.17368515311505,34.3893945296579,-11.5741165295368
4780,S,0.624226981097668,0.333577385478613,0.0362455645452088,23.8753866205348,2.99228206011702,28.1519439535314,-4.27655733299661
4781,A,0.608058970123141,0.420244815128343,0.0329106781759016,25.2506784296122,2.86019389740477,36.0516932746061,-10.8010148449939
4781,H,0.529364202780216,0.334411453468284,0.0504783147346905,23.5421063911595,3.5147341787187,34.3893945296579,-10.8472881384984
4781,S,0.624303977619292,0.333654382000236,0.0397292853268586,23.8810375723233,3.05672742914671,28.1519439535314,-4.27090638120807
4782,A,0.602641078005186,0.414826923010389,0.0312360755715876,26.2543149062813,2.95973892439455,36.0516932746061,-9.79737836832478
4782,H,0.532207100944255,0.337254351632323,0.0493948537541303,24.1599410127915,3.60367438315368,34.3893945296579,-10.2294535168664
4782,S,0.62435854185947,0.333708946240414,0.0435402382876785,24.0180150416335,3.02976445560208,28.1519439535314,-4.13392891189794
4783,A,0.611302587364233,0.423488432369434,0.0313728522697864,22.9899474685677,2.51000758797495,36.0516932746061,-13.0617458060384
4783,H,0.529450733031955,0.334497983720023,0.0463262495607701,21.3829365483738,2.7773826732051,34.3893945296579,-13.006457981284
4783,S,0.631250917774106,0.340601322155052,0.038487037174004,22.7664208927864,2.75780589609654,28.1519439535314,-5.38552306074495
4784,A,0.609200182136467,0.421386027141669,0.0320555482102503,24.0105797095494,2.59820153008932,36.0516932746061,-12.0411135650567
4784,H,0.535934556239707,0.340981806927775,0.0481355735027242,21.7338224881344,2.7550288581086,34.3893945296579,-12.6555720415235
4784,S,0.629494036494231,0.338844440875177,0.0377552508948924,22.9234571346636,2.47895003342894,28.1519439535314,-5.22848681886783
4785,A,0.610323722154758,0.422509567159961,0.0306499600741965,21.6667666667543,2.13249780273276,36.0516932746061,-14.3849266078518
4785,H,0.531571276704138,0.336618527392207,0.0440643677148909,19.83086077674,2.18271857562161,34.3893945296579,-14.5585337529179
4785,S,0.638918047646908,0.348268452027855,0.0350334737035911,21.3655410435018,2.17094319927649,28.1519439535314,-6.78640291002958
4786,A,0.588636044159021,0.400821889164223,0.0297912990430201,21.6722038876424,1.78236049308268,36.0516932746061,-14.3794893869637
4786,H,0.511891699431419,0.316938950119487,0.0431063888922607,20.199040903664,2.20696260006013,34.3893945296579,-14.1903536259939
4786,S,0.628756511133406,0.338106915514351,0.0282733434130473,21.3073063077666,1.80288127796864,28.1519439535314,-6.8446376457648
4787,A,0.578096448455451,0.390282293460651,0.0352941700912205,30.6585492318686,4.30587180167866,36.0516932746061,-5.39314404273755
4787,H,0.519624338081773,0.324671588769842,0.0433142202234961,26.9215515630245,4.41671331500489,34.3893945296579,-7.46784296663338
4787,S,0.59681351030641,0.306163914687355,0.0346461039489717,28.4302788632004,4.53765887012113,28.1519439535314,0.27833490966901
4788,A,0.577489166444868,0.389675011450071,0.0357654341448241,31.9462420855848,4.68924956375952,36.0516932746061,-4.10545118902132
4788,H,0.516444970642035,0.321492221330103,0.048920402879869,28.0209109008865,5.21450550846118,34.3893945296579,-6.36848362877138
4788,S,0.598950117487626,0.308300521868571,0.0394591286820831,28.4557907228608,5.27992757281361,28.1519439535314,0.30384676932945
4789,A,0.571217852845634,0.383403697850836,0.0331641436078666,33.4519701161473,4.74165284063209,36.0516932746061,-2.59972315845883
4789,H,0.514008609135029,0.319055859823098,0.0504981149122417,29.0489121434921,5.45219407011073,34.3893945296579,-5.34048238616575
4789,S,0.602666212764112,0.312016617145057,0.0414032266321043,28.0676130364485,4.8269579118805,28.1519439535314,-0.0843309170829372
4790,A,0.563633954401906,0.375819799407108,0.0294757104791152,35.1607313759235,4.74316120937737,36.0516932746061,-0.890961898682576
4790,H,0.509655045704454,0.314702296392523,0.0482087910794708,29.775913303812,5.44977251637261,34.3893945296579,-4.61348122584585
4790,S,0.601633524297283,0.310983928678228,0.0406086014226942,28.0990229473988,4.80083298867992,28.1519439535314,-0.0529210061325891
4791,A,0.589744525017455,0.401930370022656,0.0317872116709633,28.8081268962022,3.75949993690503,36.0516932746061,-7.2435663784039
4791,H,0.526575015973249,0.331622266661317,0.0390723396110002,25.3124435167046,3.71246618441335,34.3893945296579,-9.07695101295331
4791,S,0.605761738021684,0.315112142402629,0.0347488249303411,27.6018861863238,4.33126856327084,28.1519439535314,-0.550057767207573
4792,A,0.578331338919639,0.390517183924841,0.0287668930495871,33.6589176408142,4.43140893982694,36.0516932746061,-2.39277563379195
4792,H,0.520833038550864,0.325880289238932,0.0492239906632237,28.1071596202215,4.94328134719268,34.3893945296579,-6.28223490943641
4792,S,0.60773930976908,0.317089714150024,0.0415598913105649,27.7115656949728,4.56805102547094,28.1519439535314,-0.440378258558578
4793,A,0.603951643156516,0.416137488161718,0.0297913520927294,26.4931117592655,3.22534934991189,36.0516932746061,-9.55858151534065
4793,H,0.531149967308069,0.336197217996139,0.0454583867898441,23.6769112766195,3.70956989394822,34.3893945296579,-10.7124832530384
4793,S,0.616594898883103,0.325945303264048,0.0352760202399034,26.3209392172853,4.03069766506351,28.1519439535314,-1.83100473624614
4794,A,0.598215427231497,0.4104012722367,0.0290508315579933,29.8038778503831,3.68323658940798,36.0516932746061,-6.24781542422299
4794,H,0.529722025376347,0.334769276064416,0.049377114084451,24.9101919326151,3.86942861806321,34.3893945296579,-9.47920259704283
4794,S,0.61597121419932,0.325321618580266,0.0426446376791333,26.595660499008,4.36684359231121,28.1519439535314,-1.5562834545234
4795,A,0.608941058422096,0.421126903427298,0.0311684823503258,24.5599382782378,3.04523399502753,36.0516932746061,-11.4917549963683
4795,H,0.528599017135041,0.333646267823109,0.0467482007066032,22.2014490686171,3.10168428340467,34.3893945296579,-12.1879454610408
4795,S,0.623655930252935,0.33300633463388,0.0346446858653304,24.8541306067119,3.49183433077859,28.1519439535314,-3.29781334681945
4796,A,0.603556329006822,0.415742174012024,0.0315097434149004,26.4227970011006,3.19415780300763,36.0516932746061,-9.62889627350554
4796,H,0.534619487653264,0.339666738341333,0.0485915998331028,22.4025906196519,3.01527328223413,34.3893945296579,-11.986803910006
4796,S,0.62109130773998,0.330441712120926,0.0392162366168558,25.1365627332775,3.69182612138331,28.1519439535314,-3.01538122025393
4797,A,0.606042737034698,0.418228582039899,0.0312055362011777,22.8570522113737,2.38332871809561,36.0516932746061,-13.1946410632324
4797,H,0.529948154528464,0.334995405216532,0.0459032989857112,20.3245096837997,2.35618567985539,34.3893945296579,-14.0648848458582
4797,S,0.627213987855593,0.336564392236537,0.032193426481203,23.2342720625651,2.79967810886863,28.1519439535314,-4.91767189096628
4798,A,0.60582074467747,0.418006589682673,0.0300905086808581,23.4256634456521,2.31532276881776,36.0516932746061,-12.626029828954
4798,H,0.53294601453323,0.337993265221299,0.0429786451847701,20.608290001828,2.48559673765576,34.3893945296579,-13.7811045278299
4798,S,0.626750248866281,0.336100653247227,0.0345278792247545,23.2992746264749,2.84238187298277,28.1519439535314,-4.8526693270565
4799,A,0.565570191122567,0.377756036127769,0.0359456573225228,42.1955198119131,9.15499597867491,36.0516932746061,6.14382653730701
4799,H,0.514735574682833,0.319782825370902,0.0447379065819908,31.0199249580888,6.01204115386168,34.3893945296579,-3.36946957156904
4799,S,0.576016355516667,0.285366759897611,0.0369096099429046,38.530136949563,10.4952400930262,28.1519439535314,10.3781929960316
4800,A,0.562526583752621,0.374712428757823,0.0345084188833081,44.977787199904,9.40059738401471,36.0516932746061,8.92609392529789
4800,H,0.508081453877189,0.313128704565258,0.0495778820615492,31.746488979833,6.50733814402958,34.3893945296579,-2.6429055498249
4800,S,0.58064198882045,0.289992393201395,0.0400097230491469,37.5432809275014,9.77724016078857,28.1519439535314,9.39133697397
4801,A,0.555464901529366,0.367650746534568,0.0293243637637874,48.5083239727621,9.8799563135621,36.0516932746061,12.456630698156
4801,H,0.502225304587102,0.307272555275171,0.0496723039128178,32.396574163346,7.00310611161457,34.3893945296579,-1.99282036631191
4801,S,0.580847347720622,0.290197752101566,0.0410743389778078,37.2309705538664,9.09800129404977,28.1519439535314,9.07902660033503
4802,A,0.580966457833237,0.393152302838439,0.0321476203429549,37.676621697568,7.02981185545254,36.0516932746061,1.62492842296191
4802,H,0.520964076813868,0.326011327501937,0.0434241758783934,28.9232494750503,5.41603151597449,34.3893945296579,-5.46614505460759
4802,S,0.583441880922507,0.292792285303451,0.0334186918194068,36.3383804918084,8.89922657530567,28.1519439535314,8.18643653827698
4803,A,0.571008258362974,0.383194103368178,0.0272064382274349,44.5574805062417,8.78582820595677,36.0516932746061,8.50578723163555
4803,H,0.514764722850813,0.319811973538883,0.0493304687872442,30.080578954891,5.95157456761906,34.3893945296579,-4.30881557476694
4803,S,0.583171019040662,0.292521423421607,0.0416456305762609,36.9443501654599,9.66905194523142,28.1519439535314,8.79240621192846
4804,A,0.595865179979699,0.408051024984899,0.0314337126398631,32.9580625357514,5.95998643918606,36.0516932746061,-3.09363073885466
4804,H,0.525914044120902,0.33096129480897,0.0455994722584535,26.029170442657,4.50450401081096,34.3893945296579,-8.36022408700089
4804,S,0.5947573614484,0.304107765829344,0.0351581230252798,33.5510795435389,7.14581780750066,28.1519439535314,5.39913559000746
4805,A,0.588540244531674,0.400726089536877,0.0291788828458408,36.4632670735701,5.84667758577069,36.0516932746061,0.411573798964
4805,H,0.526966905450754,0.332014156138821,0.0461188036851404,26.6512935756763,4.73691520382839,34.3893945296579,-7.73810095398156
4805,S,0.589837738047792,0.299188142428738,0.0402093376579388,33.9840276948582,7.45736209786906,28.1519439535314,5.8320837413268
4806,A,0.598940245760779,0.411126090765981,0.0289886227311705,29.2819059324904,4.23837997650064,36.0516932746061,-6.76978734211566
4806,H,0.52965569115539,0.334702941843459,0.0438229492795848,23.6182785411695,3.53784609763085,34.3893945296579,-10.7711159884884
4806,S,0.599390377997428,0.308740782378373,0.0336405127466322,30.8418632057224,5.57911405170044,28.1519439535314,2.68991925219104
4807,A,0.596672692974605,0.408858537979808,0.0286880100199743,30.1253745621245,4.07551256799258,36.0516932746061,-5.92631871248164
4807,H,0.529594195711112,0.334641446399181,0.0420995324736929,23.6649399272383,3.38865635969657,34.3893945296579,-10.7244546024195
4807,S,0.598657353129374,0.30800775751032,0.0365348704880912,30.4004761018496,5.78662306959195,28.1519439535314,2.24853214831821
4808,A,0.545795061226547,0.357980906231749,0.0333401498703267,60.9012518718208,18.1807979656828,36.0516932746061,24.8495585972147
4808,H,0.49969828463909,0.304745535327159,0.0449469136475835,33.92978496756,7.99317571322674,34.3893945296579,-0.459609562097874
4808,S,0.547877606049437,0.257228010430382,0.0359948454371909,53.8475515629576,18.7141924272218,28.1519439535314,25.6956076094262
4809,A,0.537773030743099,0.349958875748301,0.0290174292460232,70.0506988330892,18.8791014004164,36.0516932746061,33.9990055584831
4809,H,0.492337749622017,0.297385000310085,0.0485438541340274,33.205446428205,7.25375726772237,34.3893945296579,-1.18394810145289
4809,S,0.549365223468981,0.258715627849927,0.0390591129783315,52.1700307573031,17.1174443623875,28.1519439535314,24.0180868037717
4810,A,0.5641753716887,0.376361216693902,0.0305315986366691,51.7400074057751,13.1434040985903,36.0516932746061,15.688314131169
