Species;Cultural_overall;Justification for cultural importance importance
Solidago canadensis;;
Sonchus arvensis;;
Sonchus asper;;
Sonchus oleraceus;;
Sonchus sp;;
Sorbus aria;;
Sorbus aucuparia;y;iconography
Sorbus torminalis;;
Spergula arvensis;;
Stachys alpina;;
Stachys arvensis;;
Stachys sylvatica;;
Stellaria alsine;;
Stellaria aquatica;;
Stellaria graminea;;
Stellaria holostea;;
Stellaria media;;
Stellaria nemorum;;
Symphytum officinale;;
Tanacetum vulgare;;
Taraxacum officinale;y;pusteblume in many poems and fairy tales
Taraxacum sp;y;pusteblume in many poems and fairy tales
Taxus baccata;y;myths
Teucrium chamaedrys;;
Teucrium montanum;;
Thlaspi arvense;;
Thlaspi perfoliatum;;
Thymus pulegioides;y;important medicinical plant
Tilia cordata;y;"maybe more platyphyllos but i suggest tilia in general; symbol and myths; often planted in the center of villages, in parks and places in front of houses; allee tree; iconography"
Tilia platyphyllos;y;"symbol and myths; often planted in the center of villages, in parks and places in front of houses; allee tree; iconography"
Tilia sp;y;
Torilis japonica;;
Tragopogon pratensis;;
;;
Trifolium alpestre;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium arvense;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium campestre;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium cf montanum;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium dubium;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium hybridum;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium medium;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium montanum;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium pratense;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium repens;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Trifolium sp;y;the three leaves of trifolium are often used symbols and also in iconography and songs
Tripleurospermum inodorum;;
Tripleurospermum perforatum;;
Trisetum flavescens;;
Triticum aestivum;y;"important cereal; iconography"
Tussilago farfara;;VK: I think this is also important
Ulmus glabra;y;"allee tree; iconography? VK: I think so"
Ulmus laevis;;VK: same as above
;;
Urtica dioica;y;important because of multiple uses
Vaccinium myrtillus;;
Valeriana officinalis;;
Valerianella dentata;;
Valerianella locusta;;
Verbascum lychnitis;;
Verbena officinalis;;
Veronica arvensis;y;Veronica is commonly appearing in poams and songs
