Scenario_name;Scenario_type;Scenario_description;Forest_classification;Region: mixed;Region:coniferous;Region: deciduous;EA;UA;Region:low int;Region:med int;Region:high int;Region;Forest;Grassland;Crop;Forest_Mixed;Forest_Coniferous;Forest_Deciduous;Forest_even_aged;Forest_uneven_aged;Grassland_low;Grassland_medium;Grassland_high;check_sum_forest_type;check_sum_forest_age;;;
Equal_areas;Theoretical;33% each ;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;33.333;33.333;33.333;1.33332;4.66662;27.33306;0;0;13.66653;11.33322;8.33325;99.999;33.333;;;
Equal_areas;Theoretical;33% each ;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;33.333;33.333;33.333;1.33332;2.99997;28.99971;0;0;8.66658;11.66655;12.99987;99.999;33.333;;;
Equal_areas;Theoretical;33% each ;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;33.333;33.333;33.333;3.3333;17.33316;12.66654;0;0;13.66653;9.33324;10.33323;99.999;33.333;;;
Equal_areas;Theoretical;33% each ;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;33.333;33.333;33.333;1.99998;8.33325;22.99977;0;0;11.99988;10.77767;10.55545;99.999;33.333;;;
Baseline;Baseline;Current proportion of LU types;Age;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;0;0;0;26.88;21.12;13.12;10.88;8;101;48;;;
Baseline;Baseline;Current proportion of LU types;Age;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;0;0;0;15.39;11.61;3.38;4.55;5.07;100;27;;;
Baseline;Baseline;Current proportion of LU types;Age;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;0;0;0;44.5;5.5;6.15;4.2;4.65;100;50;;;
Baseline;Baseline;Current proportion of LU types;Age;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;0;0;0;28.92333333;12.74333333;7.55;6.543333333;5.906666667;100.3333333;41.66666667;;;
Deforestation;Constrained;Reforestation;Age;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;64;16;21;0;0;0;35.84;28.16;6.56;5.44;4;101;64;;;
Deforestation;Constrained;Reforestation;Age;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;33.5;6.5;60;0;0;0;19.095;14.405;1.69;2.275;2.535;100;33.5;;;
Deforestation;Constrained;Reforestation;Age;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;57.5;7.5;35;0;0;0;51.175;6.325;3.075;2.1;2.325;100;57.5;;;
Deforestation;Constrained;Reforestation;Age;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;51.66666667;10;38.66666667;0;0;0;35.37;16.29666667;3.775;3.271666667;2.953333333;100.3333333;51.66666667;;;
Deforestation;Constrained;Deforestation;Age;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;24;56;21;0;0;0;13.44;10.56;22.96;19.04;14;101;24;;;
Deforestation;Constrained;Deforestation;Age;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;13.5;26.5;60;0;0;0;7.695;5.805;6.89;9.275;10.335;100;13.5;;;
Deforestation;Constrained;Deforestation;Age;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;25;40;35;0;0;0;22.25;2.75;16.4;11.2;12.4;100;25;;;
Deforestation;Constrained;Deforestation;Age;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;20.83333333;40.83333333;38.66666667;0;0;0;14.46166667;6.371666667;15.41666667;13.17166667;12.245;100.3333333;20.83333333;;;
More_forests;LU_change;Add 50% forests;Age;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;73;16.61538462;10.90384615;0;0;0;40.88;32.12;6.812307692;5.649230769;4.153846154;100.5192308;73;;;
More_forests;LU_change;Add 50% forests;Age;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;52;8.547945205;39.45205479;0;0;0;29.64;22.36;2.222465753;2.991780822;3.33369863;100;52;;;
More_forests;LU_change;Add 50% forests;Age;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;75;7.5;17.5;0;0;0;66.75;8.25;3.075;2.1;2.325;100;75;;;
More_forests;LU_change;Add 50% forests;Age;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;66.66666667;10.88777661;22.61863365;0;0;0;45.75666667;20.91;4.036591149;3.580337197;3.270848261;100.1730769;66.66666667;;;
More_grasslands;LU_change;Add 50% grasslands;Age;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;36.70588235;48;16.05882353;0;0;0;20.55529412;16.15058824;19.68;16.32;12;100.7647059;36.70588235;;;
More_grasslands;LU_change;Add 50% grasslands;Age;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;24.98275862;19.5;55.51724138;0;0;0;14.24017241;10.74258621;5.07;6.825;7.605;100;24.98275862;;;
More_grasslands;LU_change;Add 50% grasslands;Age;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;45.58823529;22.5;31.91176471;0;0;0;40.57352941;5.014705882;9.225;6.3;6.975;100;45.58823529;;;
More_grasslands;LU_change;Add 50% grasslands;Age;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;35.75895876;30;34.4959432;0;0;0;25.12299865;10.63596011;11.325;9.815;8.86;100.254902;35.75895876;;;
More_crops;LU_change;Add 50% crops;Age;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;41.62025316;27.74683544;31.5;0;0;0;23.30734177;18.31291139;11.37620253;9.433924051;6.936708861;100.8670886;41.62025316;;;
More_crops;LU_change;Add 50% crops;Age;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;6.75;3.25;90;0;0;0;3.8475;2.9025;0.845;1.1375;1.2675;100;6.75;;;
More_crops;LU_change;Add 50% crops;Age;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;36.53846154;10.96153846;52.5;0;0;0;32.51923077;4.019230769;4.494230769;3.069230769;3.398076923;100;36.53846154;;;
More_crops;LU_change;Add 50% crops;Age;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;28.3029049;13.98612463;58;0;0;0;19.89135751;8.411547387;5.5718111;4.54688494;3.867428595;100.2890295;28.3029049;;;
